Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
322,Pierre Højbjerg,dk DEN,MF,fr Marseille,30-150,1995,6,5,479,5.3,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.1,6,38,5,0,0,0,0,0,0.12,0.08,0.2,0.12,0.2,Matches
323,Oscar Højlund,dk DEN,MF,de Eint Frankfurt,20-363,2005,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
324,Rasmus Højlund,dk DEN,FW,it Napoli,22-332,2003,5,5,414,4.6,2,0,2,2,0,1,0,0,2.3,1.5,0,1.6,2,5,24,0.43,0,0.43,0.43,0.43,0.5,0.01,0.51,0.33,0.34,Matches
325,Mauro Icardi,ar ARG,FW,tr Galatasaray,32-317,1993,6,1,185,2.1,0,0,0,0,0,0,1,0,0.6,0.6,0,0.6,0,2,1,0,0,0,0,0,0.3,0,0.3,0.3,0.3,Matches
326,Stanis Idumbo,be BEL,MF,fr Monaco,20-187,2005,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
327,Ogbu Igoh,ng NGA,DF,cz Slavia Prague,25-328,2000,1,1,90,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
328,George Ilenikhena,ng NGA,FW,fr Monaco,19-139,2006,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches
329,Gonçalo Inácio,pt POR,DF,pt Sporting CP,24-130,2001,5,5,450,5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,10,26,3,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08,Matches
330,Fotis Ioannidis,gr GRE,"FW,MF",pt Sporting CP,25-357,2000,5,2,204,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,3,10,0,0.44,0.44,0,0.44,0.06,0.02,0.08,0.06,0.08,Matches
331,Alexander Isak,se SWE,FW,eng Liverpool,26-103,1999,5,3,228,2.5,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1,7,6,14,0,0,0,0,0,0.34,0.04,0.38,0.34,0.38,Matches
332,Ko Itakura,jp JPN,"DF,MF",nl Ajax,28-340,1997,5,5,417,4.6,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,12,1,0,0,0,0,0,0.01,0.04,0.06,0.01,0.06,Matches
333,Hiroki Ito,jp JPN,DF,de Bayern Munich,26-235,1999,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
334,Franjo Ivanovi?,hr CRO,FW,pt Benfica,22-093,2003,4,1,138,1.5,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,8,2,10,0,0,0,0,0,0.4,0.11,0.51,0.4,0.51,Matches
335,Nordin Jackers,be BEL,GK,be Club Brugge,28-119,1997,5,4,432,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
336,Nicolas Jackson,sn SEN,FW,de Bayern Munich,24-196,2001,5,1,133,1.5,2,1,3,2,0,0,0,0,1.7,1.7,0.5,2.2,4,10,7,1.35,0.68,2.03,1.35,2.03,1.14,0.33,1.47,1.14,1.47,Matches
337,Jajá,br BRA,"FW,MF",cy Pafos FC,24-262,2001,5,2,194,2.2,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,8,3,9,0,0,0,0,0,0.21,0,0.21,0.21,0.21,Matches
338,Ismail Jakobs,sn SEN,DF,tr Galatasaray,26-138,1999,6,5,419,4.7,0,0,0,0,0,0,2,0,0,0,0.8,0.8,5,12,24,0,0,0,0,0,0.01,0.17,0.17,0.01,0.17,Matches
339,Reece James,eng ENG,"MF,DF",eng Chelsea,26-025,1999,5,4,338,3.8,0,2,2,0,0,0,1,0,0.4,0.4,0.9,1.3,2,20,2,0,0.53,0.53,0,0.53,0.1,0.25,0.35,0.1,0.35,Matches
340,Marko Jankovi?,me MNE,MF,az Qaraba?,30-177,1995,5,4,381,4.2,1,2,3,0,1,1,1,0,1,0.2,0.4,0.6,3,15,7,0.24,0.47,0.71,0,0.47,0.23,0.1,0.33,0.04,0.14,Matches
